,Round,Depth,Score
0,0,1,0.0
1,1,1,0.0
2,2,1,0.0
3,3,1,0.0
4,4,1,0.0
5,5,1,0.0
6,6,1,0.0
7,7,1,0.0
8,8,1,0.0
9,9,1,0.0
10,10,1,0.0
11,11,1,-1.0
12,12,1,-1.0
13,13,1,-1.0
14,14,1,-1.0
15,15,1,-1.0
16,16,1,1.0
17,17,1,1.0
18,18,1,1.0
19,19,1,1.0
20,20,1,1.0
21,21,1,1.0
22,22,1,1.0
23,23,1,1.0
24,24,1,1.0
25,25,1,0.0
26,26,1,0.0
27,27,1,0.0
28,28,1,0.0
29,29,1,-2.0
30,30,1,-3.0
31,31,1,-2.0
32,32,1,-2.0
33,33,1,-3.0
34,34,1,-3.0
35,35,1,-3.0
36,36,1,-3.0
37,37,1,-3.0
38,38,1,-2.0
39,39,1,-2.0
40,40,1,0.0
41,41,1,0.0
42,42,1,2.0
43,43,1,4.0
44,44,1,4.0
45,45,1,8.0
46,46,1,10.0
47,47,1,11.0
48,48,1,16.0
49,49,1,16.0
50,50,1,16.0
51,51,1,15.0
52,52,1,16.0
53,53,1,16.0
54,54,1,17.0
55,55,1,15.0
56,56,1,11.0
57,57,1,13.0
58,58,1,12.0
59,59,1,17.0
60,60,1,17.0
61,0,2,0.0
62,1,2,0.0
63,2,2,0.0
64,3,2,0.0
65,4,2,0.0
66,5,2,0.0
67,6,2,0.0
68,7,2,0.0
69,8,2,0.0
70,9,2,0.0
71,10,2,0.0
72,11,2,-1.0
73,12,2,-1.0
74,13,2,-2.0
75,14,2,-2.0
76,15,2,-3.0
77,16,2,-3.0
78,17,2,-3.0
79,18,2,-3.0
80,19,2,-3.0
81,20,2,-2.0
82,21,2,-2.0
83,22,2,-3.0
84,23,2,-4.0
85,24,2,0.0
86,25,2,0.0
87,26,2,2.0
88,27,2,2.0
89,28,2,3.0
90,29,2,3.0
91,30,2,7.0
92,31,2,7.0
93,32,2,10.0
94,33,2,9.0
95,34,2,9.0
96,35,2,8.0
97,36,2,9.0
98,37,2,8.0
99,38,2,7.0
100,39,2,10.0
101,40,2,13.0
102,41,2,14.0
103,42,2,13.0
104,43,2,15.0
105,44,2,20.0
106,45,2,16.0
107,46,2,27.0
108,47,2,14.0
109,48,2,24.0
110,49,2,17.0
111,50,2,24.0
112,51,2,18.0
113,52,2,23.0
114,53,2,15.0
115,54,2,21.0
116,55,2,17.0
117,56,2,28.0
118,57,2,21.0
119,58,2,28.0
120,59,2,22.0
121,60,2,35.0
122,0,3,0.0
123,1,3,0.0
124,2,3,0.0
125,3,3,0.0
126,4,3,0.0
127,5,3,0.0
128,6,3,0.0
129,7,3,0.0
130,8,3,0.0
131,9,3,0.0
132,10,3,0.0
133,11,3,0.0
134,12,3,0.0
135,13,3,0.0
136,14,3,0.0
137,15,3,0.0
138,16,3,0.0
139,17,3,0.0
140,18,3,0.0
141,19,3,-1.0
142,20,3,-1.0
143,21,3,-1.0
144,22,3,-1.0
145,23,3,-1.0
146,24,3,2.0
147,25,3,1.0
148,26,3,1.0
149,27,3,2.0
150,28,3,2.0
151,29,3,1.0
152,30,3,1.0
153,31,3,1.0
154,32,3,2.0
155,33,3,1.0
156,34,3,1.0
157,35,3,0.0
158,36,3,-1.0
159,37,3,0.0
160,38,3,0.0
161,39,3,1.0
162,40,3,1.0
163,41,3,4.0
164,42,3,10.0
165,43,3,13.0
166,44,3,15.0
167,45,3,13.0
168,46,3,8.0
169,47,3,11.0
170,48,3,11.0
171,49,3,16.0
172,50,3,15.0
173,51,3,12.0
174,52,3,16.0
175,53,3,16.0
176,54,3,17.0
177,55,3,14.0
178,56,3,20.0
179,57,3,19.0
180,58,3,21.0
181,59,3,18.0
182,60,3,20.0
183,0,4,0.0
184,1,4,0.0
185,2,4,0.0
186,3,4,0.0
187,4,4,0.0
188,5,4,0.0
189,6,4,0.0
190,7,4,0.0
191,8,4,0.0
192,9,4,0.0
193,10,4,0.0
194,11,4,0.0
195,12,4,1.0
196,13,4,1.0
197,14,4,1.0
198,15,4,1.0
199,16,4,0.0
200,17,4,0.0
201,18,4,0.0
202,19,4,0.0
203,20,4,0.0
204,21,4,1.0
205,22,4,1.0
206,23,4,0.0
207,24,4,-3.0
208,25,4,-3.0
209,26,4,-1.0
210,27,4,2.0
211,28,4,3.0
212,29,4,4.0
213,30,4,6.0
214,31,4,5.0
215,32,4,6.0
216,33,4,5.0
217,34,4,5.0
218,35,4,4.0
219,36,4,4.0
220,37,4,4.0
221,38,4,3.0
222,39,4,4.0
223,40,4,4.0
224,41,4,6.0
225,42,4,8.0
226,43,4,6.0
227,44,4,6.0
228,45,4,6.0
229,46,4,3.0
230,47,4,4.0
231,48,4,7.0
232,49,4,3.0
233,50,4,7.0
234,51,4,1.0
235,52,4,3.0
236,53,4,6.0
237,54,4,7.0
238,55,4,11.0
239,56,4,8.0
240,57,4,11.0
241,58,4,16.0
242,59,4,17.0
243,60,4,19.0
244,0,5,0.0
245,1,5,0.0
246,2,5,0.0
247,3,5,0.0
248,4,5,0.0
249,5,5,0.0
250,6,5,0.0
251,7,5,0.0
252,8,5,-1.0
253,9,5,-1.0
254,10,5,-1.0
255,11,5,-1.0
256,12,5,-1.0
257,13,5,-1.0
258,14,5,-1.0
259,15,5,-1.0
260,16,5,-1.0
261,17,5,-1.0
262,18,5,-2.0
263,19,5,-1.0
264,20,5,-1.0
265,21,5,-1.0
266,22,5,0.0
267,23,5,0.0
268,24,5,1.0
269,25,5,0.0
270,26,5,-1.0
271,27,5,-2.0
272,28,5,-3.0
273,29,5,-2.0
274,30,5,-2.0
275,31,5,1.0
276,32,5,-3.0
277,33,5,3.0
278,34,5,0.0
279,35,5,4.0
280,36,5,-1.0
281,37,5,6.0
282,38,5,7.0
283,39,5,8.0
284,40,5,8.0
285,41,5,16.0
286,42,5,10.0
287,43,5,14.0
288,44,5,10.0
289,45,5,14.0
290,46,5,18.0
291,47,5,18.0
292,48,5,21.0
293,49,5,21.0
294,50,5,19.0
295,51,5,22.0
296,52,5,23.0
297,53,5,21.0
298,54,5,19.0
299,55,5,27.0
300,56,5,31.0
301,57,5,30.0
302,58,5,31.0
303,59,5,33.0
304,60,5,40.0
305,0,6,0.0
306,1,6,0.0
307,2,6,0.0
308,3,6,0.0
309,4,6,0.0
310,5,6,0.0
311,6,6,0.0
312,7,6,0.0
313,8,6,0.0
314,9,6,0.0
315,10,6,0.0
316,11,6,0.0
317,12,6,0.0
318,13,6,0.0
319,14,6,0.0
320,15,6,0.0
321,16,6,0.0
322,17,6,0.0
323,18,6,0.0
324,19,6,0.0
325,20,6,-2.0
326,21,6,-3.0
327,22,6,-1.0
328,23,6,-1.0
329,24,6,-1.0
330,25,6,-2.0
331,26,6,0.0
332,27,6,1.0
333,28,6,2.0
334,29,6,2.0
335,30,6,2.0
336,31,6,3.0
337,32,6,1.0
338,33,6,2.0
339,34,6,5.0
340,35,6,4.0
341,36,6,2.0
342,37,6,2.0
343,38,6,4.0
344,39,6,5.0
345,40,6,7.0
346,41,6,5.0
347,42,6,4.0
348,43,6,4.0
349,44,6,4.0
350,45,6,4.0
351,46,6,7.0
352,47,6,10.0
353,48,6,12.0
354,49,6,11.0
355,50,6,9.0
356,51,6,11.0
357,52,6,11.0
358,53,6,10.0
359,54,6,11.0
360,55,6,12.0
361,56,6,14.0
362,57,6,17.0
363,58,6,20.0
364,59,6,19.0
365,60,6,21.0
366,0,7,0.0
367,1,7,0.0
368,2,7,0.0
369,3,7,0.0
370,4,7,0.0
371,5,7,0.0
372,6,7,0.0
373,7,7,0.0
374,8,7,0.0
375,9,7,0.0
376,10,7,0.0
377,11,7,0.0
378,12,7,0.0
379,13,7,0.0
380,14,7,1.0
381,15,7,1.0
382,16,7,0.0
383,17,7,0.0
384,18,7,1.0
385,19,7,2.0
386,20,7,0.0
387,21,7,0.0
388,22,7,0.0
389,23,7,-2.0
390,24,7,-2.0
391,25,7,-1.0
392,26,7,-2.0
393,27,7,-3.0
394,28,7,-5.0
395,29,7,-1.0
396,30,7,-1.0
397,31,7,-1.0
398,32,7,-1.0
399,33,7,3.0
400,34,7,4.0
401,35,7,6.0
402,36,7,3.0
403,37,7,5.0
404,38,7,5.0
405,39,7,5.0
406,40,7,5.0
407,41,7,8.0
408,42,7,6.0
409,43,7,7.0
410,44,7,7.0
411,45,7,8.0
412,46,7,9.0
413,47,7,10.0
414,48,7,10.0
415,49,7,8.0
416,50,7,10.0
417,51,7,11.0
418,52,7,12.0
419,53,7,12.0
420,54,7,17.0
421,55,7,17.0
422,56,7,18.0
423,57,7,14.0
424,58,7,17.0
425,59,7,16.0
426,60,7,33.0
